M/Z,INTENSITY
71.7899,1.50E+01
71.7936,0.00E+00
71.8047,0.00E+00
71.8084,1.50E+01
71.8121,6.00E+00
71.8158,0.00E+00
72.0343,0.00E+00
72.038,1.00E+01
72.0417,7.00E+00
72.0454,3.00E+00
72.0491,3.40E+01
72.0528,3.20E+01
72.0566,1.40E+01
72.0603,0.00E+00
72.0714,0.00E+00
72.0751,1.40E+01
72.0788,2.00E+01
72.0825,0.00E+00
72.2383,0.00E+00
72.2421,1.00E+01
72.2458,7.00E+00
72.2495,0.00E+00
72.3163,0.00E+00
72.32,7.40E+01
72.3237,3.30E+01
72.3275,0.00E+00
72.4724,0.00E+00
72.4761,9.00E+00
72.4798,1.50E+01
72.4835,0.00E+00
72.5319,0.00E+00
72.5356,7.00E+00
72.5393,2.30E+01
72.543,3.50E+01
72.5468,1.50E+01
72.5505,0.00E+00
72.6137,0.00E+00
72.6175,1.30E+01
72.6212,2.10E+01
72.6249,0.00E+00
72.6286,0.00E+00
72.6323,1.10E+01
72.6361,2.50E+01
72.6398,0.00E+00
72.9379,0.00E+00
72.9416,2.80E+01
72.9453,7.00E+00
72.9491,0.00E+00
73.02,0.00E+00
73.0237,7.00E+00
73.0274,1.00E+01
73.0312,0.00E+00
73.0461,0.00E+00
73.0498,6.00E+00
73.0536,2.30E+01
73.0573,6.00E+00
73.061,8.00E+00
73.0648,1.82E+02
73.0685,3.04E+02
73.0722,9.00E+01
73.076,8.00E+00
73.0797,0.00E+00
73.1805,0.00E+00
73.1843,9.00E+00
73.188,2.00E+01
73.1917,0.00E+00
73.2254,0.00E+00
73.2291,2.70E+01
73.2329,2.00E+00
73.2366,0.00E+00
73.4011,0.00E+00
73.4049,1.20E+01
73.4086,1.10E+01
73.4124,0.00E+00
73.4198,0.00E+00
73.4236,8.90E+01
73.4273,2.10E+01
73.4311,1.30E+01
73.4348,0.00E+00
73.4872,0.00E+00
73.491,2.70E+01
73.4947,2.00E+01
73.4985,0.00E+00
73.5734,0.00E+00
73.5771,1.20E+01
73.5809,3.00E+00
73.5846,0.00E+00
73.6108,0.00E+00
73.6146,7.00E+00
73.6183,1.10E+01
73.6221,0.00E+00
73.7458,0.00E+00
73.7495,2.10E+01
73.7533,2.10E+01
73.757,0.00E+00
73.8508,0.00E+00
73.8546,4.00E+00
73.8584,1.50E+01
73.8621,0.00E+00
73.9109,0.00E+00
73.9147,2.00E+00
73.9184,2.80E+01
73.9222,0.00E+00
74.0198,0.00E+00
74.0236,1.70E+01
74.0274,1.30E+01
74.0311,0.00E+00
74.0875,0.00E+00
74.0912,3.00E+00
74.095,5.50E+01
74.0988,7.20E+01
74.1025,5.20E+01
74.1063,0.00E+00
74.1288,0.00E+00
74.1326,8.00E+00
74.1364,1.10E+01
74.1401,0.00E+00
74.2492,0.00E+00
74.253,9.00E+00
74.2568,6.00E+00
74.2605,0.00E+00
74.3659,0.00E+00
74.3697,1.50E+01
74.3735,2.00E+00
74.3772,0.00E+00
74.3998,0.00E+00
74.4036,4.50E+01
74.4074,1.00E+00
74.4111,0.00E+00
74.5393,0.00E+00
74.5431,2.00E+01
74.5468,2.00E+00
74.5506,0.00E+00
74.7091,0.00E+00
74.7128,1.50E+01
74.7166,2.00E+00
74.7204,0.00E+00
74.9093,0.00E+00
74.9131,7.00E+00
74.9168,7.00E+00
74.9206,0.00E+00
75.0416,0.00E+00
75.0454,1.12E+02
75.0492,2.70E+01
75.053,0.00E+00
75.087,0.00E+00
75.0908,7.00E+00
75.0946,7.00E+00
75.0984,0.00E+00
75.2006,0.00E+00
75.2044,1.60E+01
75.2082,0.00E+00
75.2461,0.00E+00
75.2499,2.70E+01
